Date,Product,Category,Units Sold,Revenue
2023-01-15,Laptop,Electronics,50,45000
2023-01-17,Smartphone,Electronics,120,60000
2023-01-20,T-Shirt,Apparel,250,7500
2023-02-10,Laptop,Electronics,30,27000
2023-02-12,Jeans,Apparel,150,9000
2023-02-22,Headphones,Electronics,200,10000
2023-03-05,Mug,Home Goods,300,1500
2023-03-16,T-Shirt,Apparel,180,5400
2023-03-25,Smartphone,Electronics,90,48000
2023-04-11,Keyboard,Electronics,110,5500
2023-04-19,Mug,Home Goods,400,2000
2023-04-28,Jeans,Apparel,100,6000
